Name,CAS,molarweight,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers,,
pentan-3-ol,584-02-1,88.089,2.59,(3.77),0.51,0.47,1.21,-,177,(193),144 ,135 ,9 ,-,,
pentan-2-ol,6032-29-7,88.089,1.27,(1.33),0.28,0.28,-,-,381,(382),562 ,562 ,-,-,,
2-methylbutan-2-ol,75-85-4,88.089,1.90,(2.39),0.69,0.71,0.04,-,427,(433),186 ,182 ,4 ,-,,
3-methylbutan-1-ol,123-51-3,88.089,1.78,(2.05),0.25,0.25,-,-,663,(670),849 ,849 ,-,-,,
pentan-1-ol,71-41-0,88.089,1.91,(5.19),0.13,0.13,0.25,-,483,(513),1706 ,1677 ,29 ,-,,
2-methylbutan-1-ol,137-32-6,88.089,1.65,(4.58),0.30,0.30,-,-,384,(406),163 ,163 ,-,-,,
"butane-1,2-diol",584-03-2,90.068,1.19,(10.78),0.15,0.15,0.20,-,107,(132),258 ,252 ,6 ,-,,
"butane-1,3-diol",107-88-0,90.068,1.52,(10.29),0.97,0.98,0.37,-,149,(177),303 ,297 ,6 ,-,,
"butane-1,4-diol",110-63-4,90.068,2.77,(9.38),0.69,0.69,-,-,145,(180),288 ,288 ,-,-,,
"butane-2,3-diol",513-85-9,90.068,2.50,(6.34),2.73,2.73,-,-,55,(69),183 ,183 ,-,-,,
"2-methylpropane-1,3-diol",2163-42-0,90.068,2.70,(5.32),0.47,0.47,-,-,67,(73),20 ,20 ,-,-,,
"propane-1,2,3-triol",56-81-5,92.047,2.38,(21.23),2.62,2.62,0.00,-,348,(423),444 ,443 ,1 ,-,,
cyclohexanol,108-93-0,100.089,1.53,(2.86),0.36,0.38,0.04,-,310,(327),139 ,131 ,8 ,-,,
3-methylpentan-1-ol,589-35-5,102.104,1.76,(3.12),0.16,0.16,-,-,37,(40),26 ,26 ,-,-,,
2-ethylbutan-1-ol,97-95-0,102.104,2.74,(10.43),0.30,0.30,-,-,53,(67),78 ,78 ,-,-,,
2-methylpentan-1-ol,105-30-6,102.104,2.32,(6.06),0.53,0.58,0.44,-,57,(68),46 ,31 ,15 ,-,,
hexan-2-ol,626-93-7,102.104,2.16,(2.68),0.40,0.40,0.24,-,173,(179),416 ,401 ,15 ,-,,
3-methylpentan-3-ol,77-74-7,102.104,2.31,(6.04),0.39,0.39,-,-,48,(57),207 ,207 ,-,-,,
hexan-3-ol,623-37-0,102.104,3.07,(9.55),0.25,0.26,0.22,-,84,(106),58 ,44 ,14 ,-,,
4-methylpentan-2-ol,108-11-2,102.104,2.00,(5.04),0.29,0.28,0.33,-,110,(123),54 ,40 ,14 ,-,,
hexan-1-ol,111-27-3,102.104,2.99,(15.35),0.24,0.24,0.20,(2.72),587,(649),1698 ,1653 ,45 ,(56),,
"pentane-2,4-diol",625-69-4,104.084,5.33,(55.59),0.75,0.75,-,-,39,(49),8 ,8 ,-,-,,
"pentane-1,5-diol",111-29-5,104.084,6.94,(16.50),0.21,0.21,-,-,26,(33),63 ,63 ,-,-,,
"pentane-1,4-diol",626-95-9,104.084,13.86,(38.21),0.31,0.31,-,-,21,(25),10 ,10 ,-,-,,
2-(2-hydroxyethoxy)ethanol,111-46-6,106.063,3.55,(9.55),0.96,0.96,-,-,194,(243),556 ,556 ,-,-,,
"benzene-1,2-diol",120-80-9,110.037,2.40,(4.20),0.29,0.29,-,-,74,(77),26 ,26 ,-,-,,
"benzene-1,3-diol",108-46-3,110.037,3.32,(6.75),0.63,0.63,-,-,70,(78),24 ,24 ,-,-,,
"(1s,3s)-3-methylcyclohexan-1-ol",7443-55-2,114.104,7.15,(24.52),0.03,0.03,-,-,8,(11),4 ,4 ,-,-,,
1-methylcyclohexan-1-ol,590-67-0,114.104,14.44,(17.42),0.61,0.61,-,-,75,(82),10 ,10 ,-,-,,
4-methylcyclohexan-1-ol,7731-28-4,114.104,10.01,(22.54),0.41,0.41,-,-,7,(9),7 ,7 ,-,-,,
"(1r,3s)-3-methylcyclohexan-1-ol",5454-79-5,114.104,11.93,(30.44),0.31,0.31,-,-,7,(9),7 ,7 ,-,-,,
heptan-1-ol,111-70-6,116.120,2.04,(9.00),0.39,0.39,0.41,-,297,(320),1009 ,992 ,17 ,-,,
heptan-3-ol,589-82-2,116.120,2.76,(7.16),0.61,0.61,-,-,61,(77),72 ,72 ,-,-,,
heptan-2-ol,543-49-7,116.120,2.27,(4.51),0.36,0.36,-,-,97,(110),319 ,319 ,-,-,,
2-methylhexan-1-ol,624-22-6,116.120,4.32,(10.97),0.25,0.25,-,-,8,(9),3 ,3 ,-,-,,
"hexane-1,6-diol",629-11-8,118.099,0.94,(4.99),0.61,0.61,-,-,128,(149),17 ,17 ,-,-,,
"2-methylpentane-2,4-diol",107-41-5,118.099,2.69,(7.60),0.40,0.40,-,-,71,(85),73 ,73 ,-,-,,
octan-2-ol,123-96-6,130.136,1.64,(31.29),0.06,0.06,-,-,106,(113),65 ,65 ,-,-,,
2-methylheptan-1-ol,60435-70-3,130.136,8.17,(21.98),1.26,1.26,-,-,6,(8),4 ,4 ,-,-,,
octan-1-ol,111-87-5,130.136,1.95,(6.63),0.43,0.43,0.39,-,571,(672),1376 ,1332 ,44 ,-,,
2-ethylhexan-1-ol,104-76-7,130.136,1.78,(4.98),0.32,0.32,-,-,148,(170),102 ,102 ,-,-,,
[4-(hydroxymethyl)cyclohexyl]methanol,105-08-8,144.115,1.35,(2.88),0.28,0.28,-,-,29,(31),12 ,12 ,-,-,,
nonan-2-ol,628-99-9,144.151,2.39,(3.99),0.79,0.79,-,-,65,(73),12 ,12 ,-,-,,
"2,6-dimethylheptan-4-ol",108-82-7,144.151,2.91,(7.10),0.92,0.92,-,-,19,(24),12 ,12 ,-,-,,
nonan-1-ol,143-08-8,144.151,1.88,(2.65),0.95,0.96,0.82,-,183,(193),595 ,577 ,18 ,-,,
"2,2,4-trimethylpentane-1,3-diol",144-19-4,146.131,3.23,(14.39),0.48,0.47,0.49,-,28,(36),15 ,8 ,7 ,-,,
2-[2-(2-hydroxyethoxy)ethoxy]ethanol,112-27-6,150.089,5.02,(23.01),1.09,1.09,0.00,-,126,(158),727 ,726 ,1 ,-,,
2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,98-55-5,154.136,9.10,(34.78),0.68,0.68,-,-,69,(87),7 ,7 ,-,-,,
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",2216-51-5,156.151,1.34,(3.65),0.52,0.52,-,-,66,(71),36 ,36 ,-,-,,
decan-1-ol,112-30-1,158.167,1.90,(17.71),0.66,0.65,0.84,-,247,(309),976 ,943 ,33 ,-,,
"2-butyl-2-ethylpropane-1,3-diol",115-84-4,160.146,2.38,(9.37),0.27,0.13,0.33,-,27,(34),12 ,4 ,8 ,-,,
