Name,CAS,molarweight,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers,,
hexadecane,544-76-3,226.266,3.60,(10.27),1.06,1.05,1.49,-,295,(369),1636 ,1627 ,9 ,-,,
heptadecane,629-78-7,240.282,3.32,(14.53),0.67,0.67,-,-,75,(92),301 ,301 ,-,-,,
octadecane,593-45-3,254.297,2.94,(9.59),0.52,0.52,-,-,128,(143),248 ,248 ,-,-,,
nonadecane,629-92-5,268.313,3.58,(10.09),0.43,0.43,-,-,72,(88),52 ,52 ,-,-,,
icosane,112-95-8,282.329,7.86,(14.81),0.28,0.28,-,-,282,(353),103 ,103 ,-,-,,
tetracosane,646-31-1,338.391,10.49,(19.19),0.31,0.31,-,-,214,(268),75 ,75 ,-,-,,
heptacosane,593-49-7,380.438,11.22,(26.79),0.15,0.15,-,-,48,(60),6 ,6 ,-,-,,
octacosane,630-02-4,394.454,8.45,(15.50),0.45,0.45,-,-,187,(234),92 ,92 ,-,-,,
"2,6,10,15,19,23-hexamethyltetracosane",111-01-3,422.485,3.24,(13.54),0.88,0.88,-,-,56,(71),463 ,463 ,-,-,,
ethene,74-85-1,28.031,0.99,(1.78),0.57,0.59,0.41,(2.85),990,(1016),1116 ,1013 ,103 ,(3104),,
"propa-1,2-diene",463-49-0,40.031,2.87,(3.69),1.51,0.86,2.98,(0.45),32,(34),13 ,9 ,4 ,(6),,
prop-1-ene,115-07-1,42.047,0.94,(2.16),0.44,0.44,0.47,(2.06),732,(775),943 ,758 ,185 ,(1400),,
"buta-1,3-diene",106-99-0,54.047,0.69,(1.25),0.45,0.31,0.48,(1.32),586,(595),441 ,79 ,362 ,(92),,
(e)-but-2-ene,624-64-6,56.063,0.55,(23.04),0.49,0.51,0.32,(0.76),159,(164),318 ,290 ,28 ,(13),,
2-methylprop-1-ene,115-11-7,56.063,3.51,(4.53),0.55,0.57,0.48,(24.29),222,(226),297 ,239 ,58 ,(137),,
(z)-but-2-ene,590-18-1,56.063,0.59,(0.77),0.66,0.69,0.16,(0.73),193,(195),298 ,277 ,21 ,(9),,
but-1-ene,106-98-9,56.063,3.85,(9.09),0.86,0.81,0.98,(4.34),370,(415),413 ,285 ,128 ,(117),,
"cyclopenta-1,3-diene",542-92-7,66.047,1.74,-,0.14,0.14,-,-,64,-,11 ,11 ,-,-,,
"penta-1,2-diene",591-95-7,68.063,0.15,-,0.01,0.01,-,-,36,-,8 ,8 ,-,-,,
"penta-2,3-diene",591-96-8,68.063,0.19,-,0.02,0.02,-,-,33,-,9 ,9 ,-,-,,
"(3z)-penta-1,3-diene",1574-41-0,68.063,0.78,-,0.02,0.02,-,-,50,-,8 ,8 ,-,-,,
"(3e)-penta-1,3-diene",2004-70-8,68.063,0.49,-,0.18,0.18,-,-,52,-,6 ,6 ,-,-,,
"2-methylbuta-1,3-diene",78-79-5,68.063,0.45,-,0.45,0.45,-,-,184,-,16 ,16 ,-,-,,
"penta-1,4-diene",591-93-5,68.063,0.88,-,0.18,0.18,-,-,29,-,7 ,7 ,-,-,,
"3-methylbuta-1,2-diene",598-25-4,68.063,0.16,-,0.03,0.03,-,-,29,-,3 ,3 ,-,-,,
(e)-pent-2-ene,646-04-8,70.078,0.21,-,0.24,0.23,0.28,-,46,-,48 ,43 ,5 ,-,,
(z)-pent-2-ene,627-20-3,70.078,0.43,-,0.40,0.40,-,-,43,-,40 ,40 ,-,-,,
3-methylbut-1-ene,563-45-1,70.078,0.61,-,1.14,0.72,1.57,-,104,-,20 ,10 ,10 ,-,,
pent-1-ene,109-67-1,70.078,3.40,(4.38),0.53,0.49,0.87,(5.26),204,(213),378 ,338 ,40 ,(25),,
2-methylbut-2-ene,513-35-9,70.078,1.25,(1.45),0.23,0.23,-,-,215,(219),10 ,10 ,-,-,,
2-methylbut-1-ene,563-46-2,70.078,0.54,(1.08),0.05,0.05,-,-,112,(116),7 ,7 ,-,-,,
"cyclohexa-1,3-diene",592-57-4,80.063,0.36,-,0.66,0.69,0.04,-,59,-,20 ,19 ,1 ,-,,
"cyclohexa-1,4-diene",628-41-1,80.063,0.54,(1.72),0.34,0.34,-,-,36,(38),13 ,13 ,-,-,,
"(2e,4e)-hexa-2,4-diene",5194-51-4,82.078,0.20,-,0.21,0.21,-,-,8,-,6 ,6 ,-,-,,
"2,3-dimethylbuta-1,3-diene",513-81-5,82.078,0.92,-,0.09,0.09,-,-,27,-,9 ,9 ,-,-,,
"hexa-1,5-diene",592-42-7,82.078,1.30,(1.41),0.20,0.20,-,-,73,(74),24 ,24 ,-,-,,
hex-1-ene,592-41-6,84.094,1.04,(1.10),0.96,0.96,0.84,-,391,(393),892 ,870 ,22 ,-,,
(z)-hex-3-ene,7642-09-3,84.094,1.21,-,0.02,0.02,-,-,19,-,6 ,6 ,-,-,,
2-methylpent-2-ene,625-27-4,84.094,1.34,(1.64),0.01,0.01,-,-,49,(50),8 ,8 ,-,-,,
"3,3-dimethylbut-1-ene",558-37-2,84.094,0.41,-,0.29,0.29,-,-,41,-,19 ,19 ,-,-,,
(e)-3-methylpent-2-ene,616-12-6,84.094,4.94,-,0.23,0.23,-,-,30,-,19 ,19 ,-,-,,
"2,3-dimethylbut-1-ene",563-78-0,84.094,0.65,-,0.16,0.16,-,-,77,-,15 ,15 ,-,-,,
(z)-3-methylpent-2-ene,922-62-3,84.094,0.08,-,0.24,0.24,-,-,17,-,22 ,22 ,-,-,,
2-methylpent-1-ene,763-29-1,84.094,0.45,-,0.02,0.02,-,-,22,-,8 ,8 ,-,-,,
"2,3-dimethylbut-2-ene",563-79-1,84.094,1.41,-,0.22,0.22,-,-,146,-,20 ,20 ,-,-,,
4-methylpent-1-ene,691-37-2,84.094,0.38,-,0.45,0.45,-,-,36,-,184 ,184 ,-,-,,
3-methylhex-1-ene,3404-61-3,98.110,1.65,-,0.23,0.23,-,-,13,-,5 ,5 ,-,-,,
hept-1-ene,592-76-7,98.110,1.20,(2.25),0.58,0.58,0.43,-,138,(147),586 ,569 ,17 ,-,,
(z)-hept-2-ene,6443-92-1,98.110,2.53,-,0.09,0.09,-,-,24,-,9 ,9 ,-,-,,
(e)-hept-2-ene,14686-13-6,98.110,0.91,(2.01),0.18,0.18,-,-,81,(82),28 ,28 ,-,-,,
(e)-hept-3-ene,14686-14-7,98.110,0.03,-,0.04,0.04,-,-,25,-,7 ,7 ,-,-,,
(z)-hept-3-ene,7642-10-6,98.110,0.04,-,0.10,0.10,-,-,13,-,6 ,6 ,-,-,,
"2,3,3-trimethylbut-1-ene",594-56-9,98.110,1.36,-,0.05,0.05,-,-,29,-,18 ,18 ,-,-,,
(e)-oct-4-ene,14850-23-8,112.125,1.11,-,0.01,0.01,-,-,22,-,5 ,5 ,-,-,,
"2,4,4-trimethylpent-2-ene",107-40-4,112.125,0.93,(1.47),0.51,0.51,-,-,32,(33),8 ,8 ,-,-,,
oct-1-ene,111-66-0,112.125,2.34,(18.02),0.88,0.88,0.12,-,146,(154),1067 ,1060 ,7 ,-,,
3-methylideneheptane,1632-16-2,112.125,2.27,-,0.14,0.14,-,-,10,-,9 ,9 ,-,-,,
"2,4,4-trimethylpent-1-ene",107-39-1,112.125,1.98,-,0.51,0.51,-,-,94,-,18 ,18 ,-,-,,
(e)-oct-2-ene,13389-42-9,112.125,0.80,-,0.35,0.35,-,-,63,-,14 ,14 ,-,-,,
(z)-oct-4-ene,7642-15-1,112.125,1.53,-,0.02,0.02,-,-,22,-,7 ,7 ,-,-,,
(z)-oct-3-ene,14850-22-7,112.125,1.41,-,0.30,0.30,-,-,10,-,8 ,8 ,-,-,,
(z)-oct-2-ene,7642-04-8,112.125,1.20,-,0.16,0.16,-,-,66,-,18 ,18 ,-,-,,
non-1-ene,124-11-8,126.141,1.11,(3.96),1.14,1.18,0.06,-,55,(63),121 ,117 ,4 ,-,,
"tricyclo[5.2.1.02,6]deca-3,8-diene",77-73-6,132.094,5.29,(67.98),0.77,0.77,-,-,70,(88),17 ,17 ,-,-,,
"deca-1,9-diene",1647-16-1,138.141,2.82,-,0.44,0.44,-,-,9,-,3 ,3 ,-,-,,
dec-1-ene,872-05-9,140.157,1.47,(9.79),0.70,0.71,0.02,-,84,(96),137 ,135 ,2 ,-,,
(z)-dec-2-ene,20348-51-0,140.157,0.14,(4.28),0.71,0.71,-,-,11,(14),4 ,4 ,-,-,,
(e)-dec-2-ene,20063-97-2,140.157,0.06,(2.81),0.71,0.71,-,-,11,(13),4 ,4 ,-,-,,
undec-1-ene,821-95-4,154.172,1.40,(2.40),0.25,0.25,-,-,60,(64),22 ,22 ,-,-,,
"cyclododeca-1,5,9-triene",706-31-0,162.141,5.47,(10.67),0.33,0.33,-,-,16,(20),7 ,7 ,-,-,,
dodec-1-ene,112-41-4,168.188,2.38,(18.28),0.31,0.31,-,-,47,(59),36 ,36 ,-,-,,
tridec-1-ene,2437-56-1,182.203,2.67,(4.41),0.46,0.46,-,-,23,(25),20 ,20 ,-,-,,
tetradec-1-ene,1120-36-1,196.219,3.18,(10.68),0.22,0.22,-,-,25,(30),33 ,33 ,-,-,,
pentadec-1-ene,13360-61-7,210.235,1.97,(2.77),0.30,0.30,-,-,33,(35),17 ,17 ,-,-,,
hexadec-1-ene,629-73-2,224.250,2.93,(5.91),0.12,0.12,-,-,57,(64),33 ,33 ,-,-,,
heptadec-1-ene,6765-39-5,238.266,1.72,(6.23),0.12,0.12,-,-,8,(11),6 ,6 ,-,-,,
octadec-1-ene,112-88-9,252.282,8.61,(13.57),0.38,0.38,-,-,35,(39),10 ,10 ,-,-,,
acetylene,74-86-2,26.016,0.82,(1.64),1.00,0.34,1.22,-,106,(111),41 ,10 ,31 ,-,,
prop-1-yne,74-99-7,40.031,2.39,(3.49),0.91,0.74,1.43,(6.06),184,(194),139 ,105 ,34 ,(453),,
but-1-en-3-yne,689-97-4,52.031,2.11,-,0.18,0.10,0.23,-,44,-,14 ,6 ,8 ,-,,
but-2-yne,503-17-3,54.047,2.06,-,0.36,0.36,-,-,25,-,82 ,82 ,-,-,,
but-1-yne,107-00-6,54.047,0.79,(2.74),0.41,0.36,0.56,(0.68),79,(83),31 ,23 ,8 ,(20),,
pent-1-yne,627-19-0,68.063,5.53,(8.85),0.47,0.47,-,-,21,(22),7 ,7 ,-,-,,
hex-1-yne,693-02-7,82.078,1.35,(1.43),0.28,0.28,-,-,108,(109),19 ,19 ,-,-,,
hex-3-yne,928-49-4,82.078,2.20,(4.09),0.03,0.03,-,-,84,(91),3 ,3 ,-,-,,
hex-2-yne,764-35-2,82.078,0.78,(1.50),0.03,0.03,-,-,79,(80),4 ,4 ,-,-,,
hept-1-yne,628-71-7,96.094,2.03,(7.70),0.08,0.08,-,-,67,(72),30 ,30 ,-,-,,
oct-1-yne,629-05-0,110.110,1.29,-,0.16,0.16,-,-,60,-,34 ,34 ,-,-,,
non-1-yne,3452-09-3,124.125,0.60,(2.10),0.05,0.05,-,-,47,(50),9 ,9 ,-,-,,
methanamine,74-89-5,31.042,1.18,(1.38),0.29,0.31,0.18,(1.10),258,(261),106 ,93 ,13 ,(88),,
aziridine,151-56-4,43.042,1.24,(1.68),0.06,0.06,-,-,46,(48),3 ,3 ,-,-,,
formamide,75-12-7,45.021,5.62,(21.95),0.32,0.32,-,-,84,(105),195 ,195 ,-,-,,
n-methylmethanamine,124-40-3,45.058,1.48,(1.97),0.12,0.13,0.12,(0.99),194,(199),18 ,6 ,12 ,(7),,
ethanamine,75-04-7,45.058,1.67,(1.88),0.15,0.17,0.11,-,158,(161),27 ,16 ,11 ,-,,
cyclopropanamine,765-30-0,57.058,0.79,-,0.57,0.57,-,-,92,-,4 ,4 ,-,-,,
prop-2-en-1-amine,107-11-9,57.058,2.57,-,0.41,0.41,-,-,21,-,11 ,11 ,-,-,,
n-methylformamide,123-39-7,59.037,2.38,(5.77),0.22,0.23,0.09,-,146,(160),207 ,202 ,5 ,-,,
acetamide,60-35-5,59.037,1.35,(1.90),1.04,1.04,-,-,24,(25),19 ,19 ,-,-,,
propan-2-amine,75-31-0,59.073,1.68,(2.40),0.29,0.32,0.16,-,66,(69),26 ,22 ,4 ,-,,
"n,n-dimethylmethanamine",75-50-3,59.073,0.80,(1.33),0.67,0.96,0.11,(0.87),166,(171),46 ,30 ,16 ,(12),,
propan-1-amine,107-10-8,59.073,3.05,(3.43),0.21,0.22,0.03,-,106,(108),84 ,79 ,5 ,-,,
"ethane-1,2-diamine",107-15-3,60.069,1.73,(12.49),0.15,0.15,-,-,193,(235),390 ,390 ,-,-,,
2-aminoethanol,141-43-5,61.053,2.02,(8.77),0.67,0.67,-,-,297,(372),440 ,440 ,-,-,,
1h-pyrrole,109-97-7,67.042,2.96,(3.43),0.30,0.33,0.11,-,198,(204),48 ,41 ,7 ,-,,
1h-imidazole,288-32-4,68.037,1.00,(4.09),0.22,0.22,-,-,10,(13),11 ,11 ,-,-,,
pyrrolidine,123-75-1,71.073,0.77,-,0.37,0.37,-,-,155,-,16 ,16 ,-,-,,
"n,n-dimethylformamide",68-12-2,73.053,2.75,(6.86),0.13,0.13,-,-,455,(565),1047 ,1047 ,-,-,,
n-methylacetamide,79-16-3,73.053,2.17,(4.67),0.23,0.23,-,-,187,(209),85 ,85 ,-,-,,
2-methylpropan-2-amine,75-64-9,73.089,1.39,-,0.34,0.34,-,-,52,-,19 ,19 ,-,-,,
butan-2-amine,13952-84-6,73.089,0.53,(0.85),0.32,0.32,-,-,71,(72),83 ,83 ,-,-,,
2-methylpropan-1-amine,78-81-9,73.089,0.90,-,0.93,1.02,0.36,-,78,-,37 ,32 ,5 ,-,,
n-ethylethanamine,109-89-7,73.089,1.01,(1.38),0.41,0.41,0.39,-,339,(343),255 ,232 ,23 ,-,,
butan-1-amine,109-73-9,73.089,2.04,(2.88),0.74,0.77,0.11,-,156,(168),135 ,130 ,5 ,-,,
"propane-1,2-diamine",78-90-0,74.084,1.25,(2.22),0.25,0.25,-,-,123,(125),48 ,48 ,-,-,,
"propane-1,3-diamine",109-76-2,74.084,1.67,(7.06),0.34,0.34,-,-,142,(176),35 ,35 ,-,-,,
1-aminopropan-2-ol,78-96-6,75.068,1.93,(12.84),0.50,0.50,-,-,31,(35),222 ,222 ,-,-,,
3-aminopropan-1-ol,156-87-6,75.068,3.01,(5.35),0.23,0.23,-,-,51,(59),94 ,94 ,-,-,,
2-(methylamino)ethanol,109-83-1,75.068,2.44,(3.68),0.11,0.11,-,-,93,(102),53 ,53 ,-,-,,
pyrimidine,289-95-2,80.037,1.59,(24.44),2.35,2.35,-,-,21,(23),7 ,7 ,-,-,,
pyrazine,290-37-9,80.037,1.64,-,0.03,0.03,-,-,29,-,5 ,5 ,-,-,,
1-methylpyrrole,96-54-8,81.058,2.30,-,0.41,0.44,0.37,-,46,-,13 ,7 ,6 ,-,,
piperidine,110-89-4,85.089,0.81,(0.99),0.11,0.11,-,-,138,(140),239 ,239 ,-,-,,
cyclopentanamine,1003-03-8,85.089,1.93,-,0.29,0.29,-,-,61,-,6 ,6 ,-,-,,
"n,n-dimethylacetamide",127-19-5,87.068,3.99,(8.02),0.13,0.13,-,-,280,(318),512 ,512 ,-,-,,
pentan-1-amine,110-58-7,87.105,1.35,(3.88),0.46,0.46,-,-,24,(27),93 ,93 ,-,-,,
n-ethyl-n-methylethanamine,616-39-7,87.105,1.32,(2.38),0.96,0.96,-,-,39,(40),19 ,19 ,-,-,,
2-amino-2-methylpropan-1-ol,124-68-5,89.084,2.50,(3.00),0.47,0.47,-,-,114,(118),244 ,244 ,-,-,,
"n,n-diethylhydroxylamine",3710-84-7,89.084,1.57,(3.34),0.32,0.32,-,-,31,(33),6 ,6 ,-,-,,
2-(dimethylamino)ethanol,108-01-0,89.084,4.13,(5.84),0.43,0.43,-,-,133,(140),109 ,109 ,-,-,,
cyclohexanamine,108-91-8,99.105,1.53,(2.10),0.14,0.14,-,-,191,(200),77 ,77 ,-,-,,
azepane,111-49-9,99.105,3.60,(5.36),0.33,0.33,-,-,131,(143),99 ,99 ,-,-,,
1-methylpiperidine,626-67-5,99.105,3.27,(3.47),0.26,0.26,-,-,74,(75),36 ,36 ,-,-,,
n-propylpropan-1-amine,142-84-7,101.120,2.20,(2.16),0.35,0.35,-,-,61,(62),95 ,95 ,-,-,,
"n,n-diethylethanamine",121-44-8,101.120,1.32,(2.38),0.08,0.09,0.02,-,289,(304),138 ,130 ,8 ,-,,
hexan-1-amine,111-26-2,101.120,2.93,(3.85),1.75,1.75,-,-,16,(17),131 ,131 ,-,-,,
n-propan-2-ylpropan-2-amine,108-18-9,101.120,1.17,(1.42),0.37,0.39,0.11,-,40,(41),48 ,44 ,4 ,-,,
"pentane-1,5-diamine",462-94-2,102.116,3.90,(4.37),0.20,0.20,-,-,101,(103),11 ,11 ,-,-,,
"n?,n?-dimethylpropane-1,3-diamine",109-55-7,102.116,1.78,(2.30),0.43,0.43,-,-,99,(101),187 ,187 ,-,-,,
"n?-(2-aminoethyl)ethane-1,2-diamine",111-40-0,103.111,3.27,(8.91),0.29,0.29,-,-,122,(153),64 ,64 ,-,-,,
2-(2-aminoethylamino)ethanol,111-41-1,104.095,6.45,(17.27),0.26,0.26,-,-,84,(105),35 ,35 ,-,-,,
2-(2-aminoethoxy)ethanol,929-06-6,105.079,2.26,(8.42),0.35,0.35,-,-,89,(91),13 ,13 ,-,-,,
2-(2-hydroxyethylamino)ethanol,111-42-2,105.079,7.48,(16.66),0.73,0.73,-,-,88,(110),232 ,232 ,-,-,,
n-methylcyclohexanamine,100-60-7,113.120,2.35,(10.19),0.70,0.70,-,-,36,(38),8 ,8 ,-,-,,
heptan-1-amine,111-68-2,115.136,2.52,(4.46),0.90,0.90,-,-,32,(36),56 ,56 ,-,-,,
"n,n,n?,n?-tetramethylethane-1,2-diamine",110-18-9,116.131,3.98,(5.94),0.23,0.23,-,-,52,(55),18 ,18 ,-,-,,
"hexane-1,6-diamine",124-09-4,116.131,2.72,(5.40),0.91,0.91,-,-,91,(97),9 ,9 ,-,-,,
1h-indole,120-72-9,117.058,2.15,(5.34),0.33,0.33,-,-,19,(21),25 ,25 ,-,-,,
2-(diethylamino)ethanol,100-37-8,117.115,4.00,(5.40),0.42,0.42,-,-,184,(197),89 ,89 ,-,-,,
2-[2-hydroxyethyl(methyl)amino]ethanol,105-59-9,119.095,8.49,(13.74),0.43,0.43,-,-,141,(154),500 ,500 ,-,-,,
2-piperazin-1-ylethanamine,140-31-8,129.127,1.77,(2.34),0.75,0.75,-,-,77,(80),15 ,15 ,-,-,,
n-butylbutan-1-amine,111-92-2,129.152,3.78,(8.65),0.48,0.48,-,-,30,(38),277 ,277 ,-,-,,
2-methyl-n-(2-methylpropyl)propan-1-amine,110-96-3,129.152,2.33,(4.73),0.63,0.60,0.74,-,18,(19),25 ,20 ,5 ,-,,
octan-1-amine,111-86-4,129.152,2.44,(4.65),0.32,0.32,-,-,95,(106),17 ,17 ,-,-,,
1-(2-hydroxypropylamino)propan-2-ol,110-97-4,133.110,4.57,(15.93),0.51,0.51,-,-,61,(70),15 ,15 ,-,-,,
"n,n-dipropylpropan-1-amine",102-69-2,143.167,1.23,(1.84),0.17,0.17,-,-,40,(42),53 ,53 ,-,-,,
"n?-[2-(2-aminoethylamino)ethyl]ethane-1,2-diamine",112-24-3,146.153,8.02,(14.69),0.17,0.17,-,-,72,(91),8 ,8 ,-,-,,
2-[2-(2-hydroxyethylamino)ethylamino]ethanol,4439-20-7,148.121,2.40,(3.05),0.26,0.26,-,-,27,(29),4 ,4 ,-,-,,
2-[bis(2-hydroxyethyl)amino]ethanol,102-71-6,149.105,5.61,(14.51),0.28,0.28,-,-,74,(86),101 ,101 ,-,-,,
decan-1-amine,2016-57-1,157.183,2.80,(3.34),0.08,0.08,-,-,57,(59),3 ,3 ,-,-,,
n-pentylpentan-1-amine,2050-92-2,157.183,7.01,(14.07),2.06,2.06,-,-,8,(11),23 ,23 ,-,-,,
n-cyclohexylcyclohexanamine,101-83-7,181.183,3.00,(8.69),0.21,0.21,-,-,69,(85),36 ,36 ,-,-,,
dodecan-1-amine,124-22-1,185.214,1.91,(5.70),0.12,0.12,-,-,22,(27),11 ,11 ,-,-,,
"n,n-dibutylbutan-1-amine",102-82-9,185.214,11.09,(18.91),0.55,0.55,-,-,59,(70),287 ,287 ,-,-,,
tetradecan-1-amine,2016-42-4,213.246,1.34,(18.87),2.12,2.12,-,-,16,(21),4 ,4 ,-,-,,
n-octyloctan-1-amine,1120-48-5,241.277,1.72,(10.96),1.13,1.13,-,-,48,(60),14 ,14 ,-,-,,
"n,n-dioctyloctan-1-amine",1116-76-3,353.402,10.27,(18.07),0.16,0.16,-,-,30,(38),25 ,25 ,-,-,,
benzene,71-43-2,78.047,0.81,(0.87),0.55,0.56,0.37,(18.28),3443,(3456),2989 ,2834 ,155 ,(654),,
pyridine,110-86-1,79.042,1.25,(1.67),0.21,0.21,-,-,558,(571),474 ,474 ,-,-,,
toluene,108-88-3,92.063,0.87,(1.60),0.37,0.36,0.50,(8.53),2290,(2360),6335 ,6210 ,125 ,(375),,
aniline,62-53-3,93.058,1.52,(3.96),0.14,0.13,0.19,-,724,(787),349 ,336 ,13 ,-,,
2-methylpyridine,109-06-8,93.058,0.77,(0.97),0.21,0.21,-,(36.19),179,(182),175 ,175 ,-,(1),,
4-methylpyridine,108-89-4,93.058,0.88,(2.74),0.19,0.19,-,(37.54),150,(158),146 ,146 ,-,(1),,
3-methylpyridine,108-99-6,93.058,0.78,(2.64),0.17,0.17,-,-,157,(165),144 ,144 ,-,-,,
phenol,108-95-2,94.042,1.63,(3.89),0.66,0.66,-,-,503,(562),107 ,107 ,-,-,,
ethynylbenzene,536-74-3,102.047,1.87,(5.89),0.09,0.09,-,-,35,(41),13 ,13 ,-,-,,
styrene,100-42-5,104.063,1.63,(4.06),0.13,0.13,-,-,274,(298),82 ,82 ,-,-,,
"1,4-xylene",106-42-3,106.078,1.23,(1.36),0.82,0.82,0.83,(0.37),702,(708),1348 ,1313 ,35 ,(32),,
"1,3-xylene",108-38-3,106.078,1.22,(2.94),0.42,0.41,0.66,(7.28),616,(640),1239 ,1194 ,45 ,(75),,
ethylbenzene,100-41-4,106.078,0.71,(1.37),0.41,0.41,0.31,-,740,(755),1110 ,1096 ,14 ,-,,
"1,2-xylene",95-47-6,106.078,1.14,(1.65),0.49,0.48,0.68,(4.51),576,(588),1402 ,1347 ,55 ,(108),,
2-methylaniline,95-53-4,107.073,1.57,(7.19),0.45,0.46,0.20,-,365,(428),191 ,183 ,8 ,-,,
phenylmethanamine,100-46-9,107.073,3.08,(13.30),0.48,0.48,-,-,149,(167),106 ,106 ,-,-,,
3-methylaniline,108-44-1,107.073,1.84,(10.53),0.84,0.84,-,-,331,(378),55 ,55 ,-,-,,
n-methylaniline,100-61-8,107.073,3.05,(7.99),0.23,0.23,-,-,164,(206),167 ,167 ,-,-,,
4-methylaniline,106-49-0,107.073,2.44,(5.27),8.42,8.42,-,-,165,(176),88 ,88 ,-,-,,
"2,6-dimethylpyridine",108-48-5,107.073,1.13,(3.12),0.33,0.33,0.30,-,183,(192),38 ,30 ,8 ,-,,
phenylmethanol,100-51-6,108.058,2.41,(20.95),0.67,0.67,-,-,451,(557),472 ,472 ,-,-,,
2-methylphenol,95-48-7,108.058,1.44,(2.40),0.29,0.29,-,-,272,(284),188 ,188 ,-,-,,
4-methylphenol,106-44-5,108.058,1.20,(1.88),0.44,0.44,-,-,524,(541),383 ,383 ,-,-,,
3-methylphenol,108-39-4,108.058,1.26,(3.78),0.53,0.53,-,-,682,(731),525 ,525 ,-,-,,
phenylhydrazine,100-63-0,108.069,4.31,(5.37),0.12,0.12,-,-,15,(16),9 ,9 ,-,-,,
chlorobenzene,108-90-7,112.008,1.20,(1.58),0.42,0.42,0.19,(5.06),748,(760),984 ,970 ,14 ,(239),,
1h-indene,95-13-6,116.063,2.01,(2.18),0.28,0.28,-,-,67,(68),14 ,14 ,-,-,,
1-ethenyl-4-methylbenzene,622-97-9,118.078,1.99,(3.89),0.94,0.94,-,-,53,(57),7 ,7 ,-,-,,
"2,3-dihydro-1h-indene",496-11-7,118.078,2.75,(3.79),0.07,0.09,0.04,-,171,(179),20 ,11 ,9 ,-,,
1-ethenyl-3-methylbenzene,100-80-1,118.078,0.85,(4.38),0.39,0.39,-,-,58,(61),8 ,8 ,-,-,,
1-ethenyl-2-methylbenzene,611-15-4,118.078,0.60,-,0.19,0.19,-,-,41,-,5 ,5 ,-,-,,
prop-1-en-2-ylbenzene,98-83-9,118.078,2.72,(4.02),0.09,0.09,-,-,84,(91),4 ,4 ,-,-,,
"1,2,3-trimethylbenzene",526-73-8,120.094,1.85,(8.77),0.18,0.18,-,-,91,(103),17 ,17 ,-,-,,
"1,2,4-trimethylbenzene",95-63-6,120.094,1.71,(8.18),0.50,0.50,-,-,168,(196),240 ,240 ,-,-,,
cumene,98-82-8,120.094,3.07,(7.58),0.42,0.42,0.32,-,367,(402),278 ,264 ,14 ,-,,
propylbenzene,103-65-1,120.094,1.06,(2.21),0.25,0.25,-,-,135,(139),177 ,177 ,-,-,,
1-ethyl-3-methylbenzene,620-14-4,120.094,1.44,(1.72),0.03,0.03,-,-,77,(78),16 ,16 ,-,-,,
"1,3,5-trimethylbenzene",108-67-8,120.094,1.55,(4.50),0.38,0.38,-,-,191,(219),659 ,659 ,-,-,,
1-ethyl-2-methylbenzene,611-14-3,120.094,1.69,(2.11),0.05,0.05,-,-,59,(61),11 ,11 ,-,-,,
1-ethyl-4-methylbenzene,622-96-8,120.094,1.28,(2.64),0.04,0.04,-,-,139,(148),20 ,20 ,-,-,,
n-ethylaniline,103-69-5,121.089,1.87,(4.95),0.54,0.54,0.00,-,287,(330),85 ,84 ,1 ,-,,
"n,n-dimethylaniline",121-69-7,121.089,2.05,(5.40),0.20,0.20,-,-,174,(200),152 ,152 ,-,-,,
"2,4-dimethylaniline",95-68-1,121.089,4.04,(9.41),0.15,0.15,-,-,43,(54),18 ,18 ,-,-,,
"2,4,6-trimethylpyridine",108-75-8,121.089,3.17,(14.29),0.20,0.20,-,-,52,(65),19 ,19 ,-,-,,
2-ethylaniline,578-54-1,121.089,2.46,(5.73),0.24,0.24,-,-,19,(24),8 ,8 ,-,-,,
benzoic acid,65-85-0,122.037,0.99,(1.15),0.54,0.54,-,-,147,(148),18 ,18 ,-,-,,
3-ethylphenol,620-17-7,122.073,1.49,(7.06),0.64,0.64,-,-,52,(58),11 ,11 ,-,-,,
"2,5-dimethylphenol",95-87-4,122.073,1.53,(5.82),0.37,0.37,-,-,53,(61),11 ,11 ,-,-,,
1-phenylethanol,98-85-1,122.073,9.23,(36.58),0.41,0.41,-,-,162,(203),50 ,50 ,-,-,,
"3,5-dimethylphenol",108-68-9,122.073,2.25,(4.16),0.17,0.17,-,-,75,(80),12 ,12 ,-,-,,
"2,4-dimethylphenol",105-67-9,122.073,3.68,(7.22),0.34,0.34,-,-,93,(105),9 ,9 ,-,-,,
"3,4-dimethylphenol",95-65-8,122.073,2.34,(5.53),0.75,0.75,-,-,71,(83),17 ,17 ,-,-,,
(3-methylphenyl)methanol,587-03-1,122.073,13.23,(24.47),4.72,4.72,-,-,11,(14),5 ,5 ,-,-,,
2-ethylphenol,90-00-6,122.073,7.46,(27.51),0.49,0.49,-,-,56,(71),16 ,16 ,-,-,,
2-phenylethanol,60-12-8,122.073,3.75,(5.83),0.10,0.10,-,-,103,(117),96 ,96 ,-,-,,
