epoch;name;Mw;m;σ;λ_a;λ_r;ϵ;split
1;ethane;30.047;1.9996110509932041;2.998094893693924;6.0;19.981327303647994;200.18505961894988;train
1;2,2-dimethylpropane;72.094;2.001814195752144;3.0029115254878995;6.0;19.937901730537416;200.1021881580353;train
1;2,2-dimethylbutane;86.11;2.0022807838916776;3.001663360118866;6.0;19.923792629241944;200.4007306098938;train
1;2,3-dimethylpentane;100.125;2.003507268667221;3.0008549780249596;6.0;19.937264957427978;200.44330897331238;train
1;2,4-dimethylpentane;100.125;2.001469287514687;3.001887020468712;6.0;19.924691042900086;200.32699100971226;train
1;3-methylheptane;114.141;2.0029551651477813;3.002305544137955;6.0;19.90888542175293;200.49025435447697;train
1;2-methyl-3-ethyl-pentane;114.141;2.0037533242702485;3.001695261836052;6.0;19.921618089675903;200.52169036865237;train
1;2,4-dimethylhexane;114.141;2.0041142048835754;3.0037251133918765;6.0;19.938874521255492;200.3480313301086;train
1;2,2,3,4-tetramethylpentane;128.157;2.0006788913011553;3.000398480594158;6.0;19.902176418304443;200.03420653045177;train
1;2,2,5-trimethylhexane;128.157;2.0005200923085216;3.0009602642059328;6.0;19.90016040802002;200.38572642803194;train
1;2,6-dimethyloctane;142.172;1.9987429344654082;3.002208658695221;6.0;19.908348579406738;200.33763539791107;train
1;2,3-dimethylnonane;156.188;2.0007987831830976;3.000759141743183;6.0;19.892528848648073;200.68119893074035;train
1;3-methyldodecane;184.219;1.997345330953598;2.9976897602081296;6.0;19.88477412223816;200.47052469253538;train
1;2,3-dimethyldodecane;198.235;1.9981429352760314;2.9990704757571223;6.0;19.880346364974976;200.7713186740875;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0018999090194702;3.0048107848167422;6.0;19.913848237991335;200.36750833988188;train
1;tetracosane;338.391;2.0013999257087707;3.001577189207077;6.0;19.90488865852356;200.24875977039338;train
1;propane;44.063;1.999744947820902;2.9997865164130926;6.0;19.98327478170395;200.19330097436904;train
1;pentane;72.094;2.0020652384757995;3.0023093190193175;6.0;19.949600439071656;200.1733847975731;train
1;2,3-dimethylbutane;86.11;2.003024529695511;3.0012516914606095;6.0;19.929603290557864;200.35570433139802;train
1;3-methylhexane;100.125;2.004572859764099;3.0022769994735716;6.0;19.936504211425785;200.25820355415345;train
1;2,5-dimethylhexane;114.141;2.0032046644687656;3.0014728479385377;6.0;19.921459617614747;200.4357680797577;train
1;2,2,3-trimethylpentane;114.141;2.0037179646492005;3.001161167144775;6.0;19.911541414260864;200.04393088519575;train
1;2,3,3-trimethylpentane;114.141;2.001622587442398;3.0014456629753115;6.0;19.909853019714355;200.29757208824157;train
1;4-methylheptane;114.141;2.0039862813949583;3.002614477157593;6.0;19.9161300945282;200.3698704481125;train
1;3,3-diethylpentane;128.157;2.0013602796792984;3.0012024720907213;6.0;19.91675705909729;200.26188051700595;train
1;2,3-dimethylheptane;128.157;2.002267093658447;3.001449809551239;6.0;19.918770656585693;200.64953536987304;train
1;2,7-dimethyloctane;142.172;1.999641514927149;3.0030606820583343;6.0;19.916796827316286;200.54165430068966;train
1;3-methylundecane;170.203;1.9986720471382142;2.998900939464569;6.0;19.886713314056397;200.318384885788;train
1;tridecane;184.219;2.001421886086464;2.999099793553352;6.0;19.90770824432373;200.45691056251528;train
1;tetradecane;198.235;2.0008138866424563;3.0001561871767044;6.0;19.90835654258728;200.3753746986389;train
1;heptadecane;240.282;2.0001865126043556;3.000285060882568;6.0;19.905376281738285;200.4540722846985;train
1;heptacosane;380.438;2.0002957786619664;3.000409894824028;6.0;19.889227533340453;200.26799232959743;train
1;n-butane;58.078;2.000762867987156;3.001958389520645;6.0;19.964382894039154;200.013891158998;train
1;3-methylpentane;86.11;2.0024786043167113;3.0020840611457826;6.0;19.932000970840456;200.21843309402465;train
1;3-ethylpentane;100.125;2.0024957625865936;3.0009444354772565;6.0;19.91806276321411;200.21081058979036;train
1;3,3-dimethylpentane;100.125;2.000963857293129;3.000939404428005;6.0;19.913239727020265;200.53503170013425;train
1;2-methylheptane;114.141;2.0021010880470276;3.0024733912944797;6.0;19.92090281009674;200.4569100379944;train
1;octane;114.141;2.0017992919683456;3.003066080570221;6.0;19.92014675140381;200.50932841300963;train
1;3-ethylhexane;114.141;2.0033708050251007;2.999915117144585;6.0;19.927387676239015;200.36164529323574;train
1;2,3-dimethylhexane;114.141;2.003843098163605;3.0006890437602998;6.0;19.924989256858826;200.6377912521362;train
1;2-methyloctane;128.157;2.0016399668455125;3.002612186908722;6.0;19.910871534347535;200.52404832839966;train
1;2,2,3,3-tetramethylpentane;128.157;1.997107023000717;3.0004661293029784;6.0;19.906938343048097;200.40247058868408;train
1;3-methyldecane;156.188;1.9981478679180147;2.998880287408829;6.0;19.90478593826294;200.45809402465818;train
1;2,3-dimethyldecane;170.203;1.9992613998651505;2.9999655463732777;6.0;19.898181085586547;200.61942744255066;train
1;2-methyldodecane;184.219;1.999576696485281;2.997956840991974;6.0;19.8994447517395;200.43201999664308;train
1;2-methyltridecane;198.235;2.000163279607892;2.997138932466507;6.0;19.89537383079529;200.54655628204347;train
1;octadecane;254.297;2.0014103655815125;3.0001794307231906;6.0;19.91356565475464;200.41924772262573;train
1;octacosane;394.454;2.0005578410625455;3.000894198536873;6.0;19.889172649383546;200.32732598781587;train
1;2-methylpropane;58.078;2.0005554609894753;3.001070454239845;6.0;19.946932005882264;200.15872066020967;train
1;hexane;86.11;2.002052573442459;3.0027870831489563;6.0;19.938532066345218;200.39084174633027;train
