epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2,5-dimethylhexane;114.141;0.9579526131374625;1.9758699631294383;6.0;9.588247162797025;1566.044807434082
1;2-methylheptane;114.141;0.958330818215793;1.9764938404343468;6.0;9.58726822460011;1565.9815788269043
1;3-methyldecane;156.188;0.9526817567078164;1.9639418720981856;6.0;9.532360140204297;2064.8805618286133
1;hexadecane;226.266;0.9503161565014985;1.9542364898492652;6.0;9.507527706067316;2843.470001220703
1;3,3-dimethylhexane;114.141;0.9574319357532912;1.974961420841419;6.0;9.587805531827712;1574.506950378418
1;3-methyltridecane;198.235;0.9508272165694994;1.9572065394830132;6.0;9.51317543702495;2531.0897827148438
1;2-methylbutane;72.094;0.9725561685242756;1.9968420726730172;6.0;9.735006289006463;1080.8158874511719
1;nonane;128.157;0.9555464287595792;1.971085291179309;6.0;9.563836872884004;1727.964210510254
1;heptacosane;380.438;0.9500022067733032;1.9502703384097735;6.0;9.500342541455913;4534.81330871582
1;2,2-dimethylpropane;72.094;0.9698571911753832;1.9939553284934124;6.0;9.751344437928642;1066.585350036621
1;2,4,4-trimethylhexane;128.157;0.9550836253620469;1.9701555710683767;6.0;9.564636500804077;1731.4156532287598
1;octadecane;254.297;0.9501262745342645;1.952546023118251;6.0;9.504207848800064;3160.2352142333984
1;heptadecane;240.282;0.9502093746252801;1.9533627110602523;6.0;9.505521594666519;3004.886245727539
1;n-undecane;156.188;0.9526412288256596;1.9638644161178607;6.0;9.534030465120011;2046.5396881103516
1;nonadecane;268.313;0.9500792987741344;1.951967646849103;6.0;9.503161491145816;3317.2937393188477
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;0.9503111662079948;1.9542063463653636;6.0;9.50771886783089;2835.128974914551
1;3-methyldodecane;184.219;0.9512526205343146;1.9590852922594886;6.0;9.51766713955388;2375.923538208008
1;3,4-dimethylhexane;114.141;0.9583220834220719;1.9764388923343306;6.0;9.584536430433964;1578.5942077636719
1;3-methylheptane;114.141;0.9585319287987966;1.9768146429287483;6.0;9.586411758115212;1567.5759315490723
1;n-butane;58.078;0.9785459171757669;2.0756351351737976;6.0;9.83755605741697;915.7875537872314
1;2,2,5,5-tetramethylhexane;142.172;0.9535053471683135;1.9663597891920839;6.0;9.548569638374914;1879.4649124145508
1;tridecane;184.219;0.9511699984066714;1.9587845379163276;6.0;9.518465179787952;2365.080451965332
1;2,2,3-trimethylpentane;114.141;0.9570976040261386;1.9743737219515431;6.0;9.58837928611954;1576.3550758361816
1;decane;142.172;0.9539217163512205;1.9673051856892085;6.0;9.54593052759681;1890.6896591186523
1;3-ethylpentane;100.125;0.9616854434852419;1.9821358870690067;6.0;9.620822109839889;1405.5678367614746
1;2,3-dimethyldodecane;198.235;0.9508387846004004;1.95725378536375;6.0;9.512971554291166;2535.8945846557617
1;3-methylundecane;170.203;0.9518778130296303;1.9613956235704597;6.0;9.523778144997374;2220.2613830566406
1;2-methyldecane;156.188;0.9528792610430512;1.964467710204806;6.0;9.53219659022082;2060.0648880004883
1;3-methylpentane;86.11;0.9663431660063353;1.9888973421204024;6.0;9.665268553251241;1250.1860618591309
1;octane;114.141;0.9582133979000825;1.9762984146368219;6.0;9.58734232670684;1567.0077323913574
1;2-methyldodecane;184.219;0.951303938605074;1.9592856683209114;6.0;9.517948890913434;2365.851402282715
1;2,6-dimethyloctane;142.172;0.9541961014958766;1.9679257508586854;6.0;9.545708994507095;1886.1116409301758
1;2,2,3,4-tetramethylpentane;128.157;0.9549108582449072;1.9697962971825436;6.0;9.56483413433222;1733.5278511047363
1;3,3-diethylpentane;128.157;0.9550686256258349;1.970130895718132;6.0;9.565075133280246;1729.038143157959
1;2,3,4-trimethyl pentane;114.141;0.9568440120314151;1.9739187152338011;6.0;9.588814527722361;1577.9085159301758
1;2-methylhexane;100.125;0.9620839999836637;1.9826871152837093;6.0;9.61936860378174;1407.115650177002
1;2,2,3-trimethylbutane;100.125;0.9594629935665756;1.9788051112381968;6.0;9.62390234023819;1415.877628326416
1;3-methyl-3-ethylpentane;114.141;0.9574852658134189;1.9750506107522443;6.0;9.587471698024157;1575.3205299377441
1;pentadecane;212.25;0.9505216726806636;1.9555891570019033;6.0;9.510176499993342;2676.873207092285
1;hexane;86.11;0.9669048233505775;1.989618986943494;6.0;9.667567689771094;1241.5132522583008
1;2-methyloctane;128.157;0.9558633356045243;1.971694930983305;6.0;9.562996636280861;1727.852725982666
1;octacosane;394.454;0.9500013786553776;1.95020843248733;6.0;9.500259272279358;4689.459991455078
1;2,2,4,4-tetramethylpentane;128.157;0.9546854016895614;1.9693479544067622;6.0;9.567224659926403;1723.7862586975098
1;2-methyl-3-ethyl-pentane;114.141;0.9579598175994911;1.9758415201791986;6.0;9.58539776166287;1578.8704872131348
1;2-methylpentane;86.11;0.9667804608209436;1.989459164342242;6.0;9.666975184044352;1243.6142921447754
1;2,3,3,4-tetramethylpentane;128.157;0.9547842054114731;1.9694965039814163;6.0;9.562762466926207;1748.8073348999023
1;2,3-dimethyldecane;170.203;0.9518727071867524;1.9613728730169853;6.0;9.52349716575871;2225.1989364624023
1;ethane;30.047;1.0701068043708801;2.439973771572113;6.0;13.08163046836853;579.5642852783203
1;2,3-dimethylpentane;100.125;0.9610842020292237;1.9812401414731065;6.0;9.619399201872588;1415.2900695800781
1;2,3-dimethylundecane;184.219;0.9512165803195252;1.9589406470413018;6.0;9.517397200803002;2384.7780227661133
1;pentane;72.094;0.9718354078911458;1.9960704396982767;6.0;9.737075592476948;1080.4787635803223
