Chemical_Family,r,m,ap,p,tt,r_m,r_p,r_ap,r_tt,ap_m,ap_p,ap_tt,tt_m,tt_p,m_p,r_ap_tt,r_ap_m,r_ap_p,r_tt_m,r_tt_p,r_m_p,ap_tt_m,ap_tt_p,ap_m_p,tt_m_p,r_ap_tt_m,r_ap_tt_p,r_ap_m_p,r_tt_m_p,ap_tt_m_p,r_ap_tt_m_p
Acids,"[1.0, 0.704, 34.23, 183.0]","[1.0, 0.753, 30.4, 206.0]","[0.0, 0.652, 67.54, 299.0]","[1.0, 0.62, 47.11, 187.0]","[4.0, 0.76, 8.47, 59.0]","[1.0, 0.727, 64.64, 389.0]","[0.0, 0.656, 81.34, 370.0]","[0.0, 0.666, 101.77, 482.0]","[2.0, 0.716, 42.71, 242.0]","[0.0, 0.69, 97.94, 505.0]","[0.0, 0.637, 114.65, 486.0]","[0.0, 0.667, 76.01, 358.0]","[1.0, 0.754, 38.88, 265.0]","[0.0, 0.649, 55.58, 246.0]","[0.0, 0.683, 77.51, 393.0]","[0.0, 0.676, 110.25, 541.0]","[0.0, 0.691, 132.17, 688.0]","[0.0, 0.651, 148.88, 669.0]","[1.0, 0.731, 73.11, 448.0]","[0.0, 0.669, 89.82, 429.0]","[0.0, 0.688, 111.75, 576.0]","[0.0, 0.696, 106.41, 564.0]","[0.0, 0.648, 123.12, 545.0]","[0.0, 0.668, 145.05, 692.0]","[0.0, 0.692, 85.98, 452.0]","[0.0, 0.696, 140.65, 747.0]","[0.0, 0.659, 157.36, 728.0]","[0.0, 0.673, 179.28, 875.0]","[0.0, 0.694, 120.22, 635.0]","[0.0, 0.674, 153.52, 751.0]","[0.0, 0.678, 187.76, 934.0]"
Alcohols,"[4.0, 0.849, 38.86, 449.0]","[1.0, 0.866, 22.94, 316.0]","[0.0, 0.792, 37.39, 310.0]","[6.0, 0.699, 42.3, 224.0]","[6.0, 0.872, 9.16, 132.0]","[1.0, 0.855, 61.8, 765.0]","[0.0, 0.794, 81.16, 673.0]","[0.0, 0.824, 76.25, 759.0]","[3.0, 0.854, 48.02, 581.0]","[0.0, 0.828, 60.33, 626.0]","[0.0, 0.749, 79.7, 534.0]","[0.0, 0.815, 46.55, 442.0]","[1.0, 0.868, 32.1, 448.0]","[0.0, 0.757, 51.46, 356.0]","[0.0, 0.79, 65.24, 540.0]","[0.0, 0.83, 85.41, 891.0]","[0.0, 0.835, 99.19, 1075.0]","[0.0, 0.792, 118.55, 983.0]","[1.0, 0.857, 70.96, 897.0]","[0.0, 0.806, 90.32, 805.0]","[0.0, 0.815, 104.1, 989.0]","[0.0, 0.835, 69.49, 758.0]","[0.0, 0.772, 88.86, 666.0]","[0.0, 0.79, 102.63, 850.0]","[0.0, 0.805, 74.4, 672.0]","[0.0, 0.839, 108.35, 1207.0]","[0.0, 0.801, 127.71, 1115.0]","[0.0, 0.809, 141.49, 1299.0]","[0.0, 0.822, 113.26, 1121.0]","[0.0, 0.8, 111.79, 982.0]","[0.0, 0.815, 150.65, 1431.0]"
Aldehydes,"[1.0, 0.694, 32.29, 158.0]","[0.0, 0.721, 22.18, 133.0]","[0.0, 0.641, 32.79, 142.0]","[0.0, 0.608, 31.61, 121.0]","[3.0, 0.739, 6.9, 44.0]","[0.0, 0.701, 54.47, 291.0]","[0.0, 0.652, 63.9, 279.0]","[0.0, 0.663, 65.09, 300.0]","[1.0, 0.702, 39.19, 202.0]","[0.0, 0.678, 54.97, 275.0]","[0.0, 0.622, 64.4, 263.0]","[0.0, 0.662, 39.69, 186.0]","[0.0, 0.724, 29.08, 177.0]","[0.0, 0.638, 38.51, 165.0]","[0.0, 0.662, 53.79, 254.0]","[0.0, 0.671, 71.99, 344.0]","[0.0, 0.679, 87.26, 433.0]","[0.0, 0.645, 96.7, 421.0]","[0.0, 0.705, 61.37, 335.0]","[0.0, 0.662, 70.81, 323.0]","[0.0, 0.671, 86.08, 412.0]","[0.0, 0.685, 61.87, 319.0]","[0.0, 0.637, 71.3, 307.0]","[0.0, 0.653, 86.58, 396.0]","[0.0, 0.672, 60.69, 298.0]","[0.0, 0.684, 94.16, 477.0]","[0.0, 0.653, 103.6, 465.0]","[0.0, 0.661, 118.87, 554.0]","[0.0, 0.677, 92.98, 456.0]","[0.0, 0.661, 93.48, 440.0]","[0.0, 0.666, 125.77, 598.0]"
Alkanes,"[7.0, 0.641, 16.98, 74.0]","[1.0, 0.853, 21.02, 260.0]","[0.0, 0.765, 52.59, 370.0]","[2.0, 0.701, 52.02, 276.0]","[8.0, 0.826, 9.01, 93.0]","[1.0, 0.799, 38.0, 334.0]","[0.0, 0.685, 69.0, 350.0]","[0.0, 0.74, 69.57, 444.0]","[6.0, 0.737, 25.99, 167.0]","[0.0, 0.798, 73.61, 630.0]","[0.0, 0.735, 104.61, 646.0]","[0.0, 0.776, 61.6, 463.0]","[1.0, 0.845, 30.03, 353.0]","[0.0, 0.728, 61.04, 369.0]","[0.0, 0.768, 73.05, 536.0]","[0.0, 0.754, 78.58, 537.0]","[0.0, 0.779, 90.59, 704.0]","[0.0, 0.723, 121.59, 720.0]","[1.0, 0.805, 47.01, 427.0]","[0.0, 0.711, 78.01, 443.0]","[0.0, 0.75, 90.02, 610.0]","[0.0, 0.801, 82.63, 723.0]","[0.0, 0.745, 113.63, 739.0]","[0.0, 0.766, 125.64, 906.0]","[0.0, 0.775, 82.06, 629.0]","[0.0, 0.784, 99.6, 797.0]","[0.0, 0.734, 130.6, 813.0]","[0.0, 0.755, 142.61, 980.0]","[0.0, 0.759, 99.04, 703.0]","[0.0, 0.771, 134.65, 999.0]","[0.0, 0.76, 151.63, 1073.0]"
Alkenes,"[1.0, 0.821, 24.2, 229.0]","[1.0, 0.83, 23.56, 248.0]","[0.0, 0.757, 37.55, 259.0]","[6.0, 0.783, 38.03, 286.0]","[4.0, 0.882, 7.28, 114.0]","[1.0, 0.824, 47.76, 477.0]","[1.0, 0.799, 62.23, 515.0]","[0.0, 0.783, 61.75, 488.0]","[2.0, 0.84, 31.48, 343.0]","[0.0, 0.791, 61.11, 507.0]","[0.0, 0.767, 75.58, 545.0]","[0.0, 0.792, 44.83, 373.0]","[1.0, 0.846, 30.84, 362.0]","[0.0, 0.809, 45.31, 400.0]","[0.0, 0.802, 61.59, 534.0]","[0.0, 0.801, 69.03, 602.0]","[0.0, 0.798, 85.31, 736.0]","[0.0, 0.782, 99.78, 774.0]","[1.0, 0.835, 55.04, 591.0]","[0.0, 0.813, 69.51, 629.0]","[0.0, 0.807, 85.79, 763.0]","[0.0, 0.807, 68.39, 621.0]","[0.0, 0.785, 82.86, 659.0]","[0.0, 0.785, 99.14, 793.0]","[0.0, 0.815, 68.87, 648.0]","[0.0, 0.809, 92.59, 850.0]","[0.0, 0.794, 107.06, 888.0]","[0.0, 0.792, 123.34, 1022.0]","[0.0, 0.816, 93.07, 877.0]","[0.0, 0.797, 106.42, 907.0]","[0.0, 0.801, 130.62, 1136.0]"
Alkynes,"[0.0, 0.518, 12.94, 38.0]","[0.0, 0.58, 14.55, 53.0]","[0.0, 0.545, 17.95, 58.0]","[1.0, 0.546, 13.61, 42.0]","[2.0, 0.59, 3.85, 14.0]","[0.0, 0.552, 27.48, 91.0]","[0.0, 0.528, 26.55, 80.0]","[0.0, 0.533, 30.89, 96.0]","[0.0, 0.534, 16.79, 52.0]","[0.0, 0.561, 32.5, 111.0]","[0.0, 0.54, 31.56, 100.0]","[0.0, 0.552, 21.8, 72.0]","[0.0, 0.581, 18.39, 67.0]","[0.0, 0.549, 17.45, 56.0]","[0.0, 0.559, 28.15, 95.0]","[0.0, 0.539, 34.74, 110.0]","[0.0, 0.548, 45.44, 149.0]","[0.0, 0.533, 44.5, 138.0]","[0.0, 0.556, 31.33, 105.0]","[0.0, 0.534, 30.39, 94.0]","[0.0, 0.546, 41.09, 133.0]","[0.0, 0.563, 36.35, 125.0]","[0.0, 0.544, 35.41, 114.0]","[0.0, 0.552, 46.11, 153.0]","[0.0, 0.561, 32.0, 109.0]","[0.0, 0.551, 49.29, 163.0]","[0.0, 0.537, 48.35, 152.0]","[0.0, 0.545, 59.05, 191.0]","[0.0, 0.549, 44.94, 147.0]","[0.0, 0.554, 49.95, 167.0]","[0.0, 0.547, 62.89, 205.0]"
Amines,"[1.0, 0.859, 38.89, 494.0]","[0.0, 0.889, 22.03, 371.0]","[0.0, 0.835, 33.16, 357.0]","[4.0, 0.791, 41.86, 346.0]","[6.0, 0.886, 7.89, 128.0]","[0.0, 0.871, 60.92, 865.0]","[0.0, 0.83, 80.75, 840.0]","[0.0, 0.847, 72.05, 851.0]","[2.0, 0.864, 46.78, 622.0]","[0.0, 0.861, 55.19, 728.0]","[0.0, 0.812, 75.02, 703.0]","[0.0, 0.847, 41.05, 485.0]","[0.0, 0.888, 29.92, 499.0]","[0.0, 0.815, 49.75, 474.0]","[0.0, 0.839, 63.89, 717.0]","[0.0, 0.852, 79.94, 979.0]","[0.0, 0.86, 94.08, 1222.0]","[0.0, 0.83, 113.91, 1197.0]","[0.0, 0.873, 68.81, 993.0]","[0.0, 0.837, 88.65, 968.0]","[0.0, 0.847, 102.78, 1211.0]","[0.0, 0.865, 63.08, 856.0]","[0.0, 0.823, 82.91, 831.0]","[0.0, 0.837, 97.05, 1074.0]","[0.0, 0.846, 71.78, 845.0]","[0.0, 0.862, 101.97, 1350.0]","[0.0, 0.835, 121.8, 1325.0]","[0.0, 0.843, 135.94, 1568.0]","[0.0, 0.85, 110.68, 1339.0]","[0.0, 0.842, 104.94, 1202.0]","[0.0, 0.847, 143.83, 1696.0]"
Aromatic hydrocarbons,"[3.0, 0.879, 173.48, 2641.0]","[0.0, 0.942, 34.99, 1159.0]","[0.0, 0.859, 64.62, 820.0]","[0.0, 0.772, 78.15, 584.0]","[3.0, 0.878, 20.61, 315.0]","[0.0, 0.897, 208.47, 3800.0]","[0.0, 0.857, 251.63, 3225.0]","[0.0, 0.873, 238.1, 3461.0]","[2.0, 0.878, 194.09, 2956.0]","[0.0, 0.906, 99.61, 1979.0]","[0.0, 0.82, 142.77, 1404.0]","[0.0, 0.864, 85.23, 1135.0]","[0.0, 0.928, 55.61, 1474.0]","[0.0, 0.806, 98.76, 899.0]","[0.0, 0.879, 113.14, 1743.0]","[0.0, 0.874, 258.71, 3776.0]","[0.0, 0.89, 273.09, 4620.0]","[0.0, 0.857, 316.25, 4045.0]","[0.0, 0.896, 229.08, 4115.0]","[0.0, 0.859, 272.24, 3540.0]","[0.0, 0.879, 286.62, 4384.0]","[0.0, 0.902, 120.23, 2294.0]","[0.0, 0.83, 163.38, 1719.0]","[0.0, 0.872, 177.76, 2563.0]","[0.0, 0.879, 133.76, 2058.0]","[0.0, 0.889, 293.7, 4935.0]","[0.0, 0.859, 336.86, 4360.0]","[0.0, 0.875, 351.24, 5204.0]","[0.0, 0.879, 307.23, 4699.0]","[0.0, 0.873, 198.38, 2878.0]","[0.0, 0.875, 371.85, 5519.0]"
Chlorides,"[0.0, 0.867, 31.52, 364.0]","[0.0, 0.823, 11.78, 120.0]","[0.0, 0.747, 17.51, 118.0]","[2.0, 0.779, 40.08, 286.0]","[1.0, 0.887, 4.54, 72.0]","[0.0, 0.853, 43.3, 484.0]","[0.0, 0.826, 71.6, 650.0]","[0.0, 0.834, 49.03, 482.0]","[0.0, 0.869, 36.07, 436.0]","[0.0, 0.784, 29.29, 238.0]","[0.0, 0.767, 57.59, 404.0]","[0.0, 0.797, 22.05, 190.0]","[0.0, 0.846, 16.32, 192.0]","[0.0, 0.799, 44.62, 358.0]","[0.0, 0.789, 51.85, 406.0]","[0.0, 0.84, 53.58, 554.0]","[0.0, 0.83, 60.81, 602.0]","[0.0, 0.812, 89.11, 768.0]","[0.0, 0.857, 47.84, 556.0]","[0.0, 0.832, 76.14, 722.0]","[0.0, 0.824, 83.38, 770.0]","[0.0, 0.806, 33.83, 310.0]","[0.0, 0.784, 62.13, 476.0]","[0.0, 0.778, 69.36, 524.0]","[0.0, 0.802, 56.4, 478.0]","[0.0, 0.836, 65.35, 674.0]","[0.0, 0.818, 93.65, 840.0]","[0.0, 0.813, 100.89, 888.0]","[0.0, 0.829, 87.92, 842.0]","[0.0, 0.79, 73.9, 596.0]","[0.0, 0.818, 105.43, 960.0]"
Cyclic compounds,"[3.0, 0.832, 78.31, 799.0]","[3.0, 0.888, 24.73, 414.0]","[0.0, 0.775, 33.64, 258.0]","[0.0, 0.773, 78.55, 574.0]","[3.0, 0.867, 16.29, 226.0]","[0.0, 0.849, 103.04, 1213.0]","[0.0, 0.804, 156.86, 1373.0]","[0.0, 0.816, 111.95, 1057.0]","[0.0, 0.838, 94.6, 1025.0]","[0.0, 0.842, 58.37, 672.0]","[0.0, 0.771, 112.2, 832.0]","[0.0, 0.816, 49.93, 484.0]","[1.0, 0.881, 41.02, 640.0]","[0.0, 0.797, 94.85, 800.0]","[0.0, 0.817, 103.28, 988.0]","[0.0, 0.825, 128.25, 1283.0]","[0.0, 0.835, 136.68, 1471.0]","[0.0, 0.798, 190.51, 1631.0]","[0.0, 0.852, 119.33, 1439.0]","[0.0, 0.812, 173.16, 1599.0]","[0.0, 0.822, 181.59, 1787.0]","[0.0, 0.848, 74.66, 898.0]","[0.0, 0.79, 128.49, 1058.0]","[0.0, 0.807, 136.92, 1246.0]","[0.0, 0.826, 119.57, 1214.0]","[0.0, 0.839, 152.97, 1697.0]","[0.0, 0.806, 206.8, 1857.0]","[0.0, 0.815, 215.23, 2045.0]","[0.0, 0.826, 197.88, 2013.0]","[0.0, 0.816, 153.22, 1472.0]","[0.0, 0.82, 231.53, 2271.0]"
