m_sigma_3,m_epsilon,m_sigma_3_r2,m_epsilon_r2,Mw
"[66.86848107420151, 199.47692721250294, 270.23250754400544, 347.50988078132127, 481.18443745215944, 672.6451059329686, 46.663929547016956, 827.0891900680236, 71.12483741714777, 148.03951521464853, 394.61989627905075, 437.5881638417726, 546.2251878971468, 950.5009991757676, 104.85503679030471, 248.7776528236861, 625.2075613153773, 860.3140633286724, 158.76644889531389, 252.28736156872327, 315.44017233021015, 471.79342974088394, 612.9291976602132]","[494.6185439931666, 1036.9394143078364, 1362.3758461285322, 1718.9177310762882, 2340.1576788507577, 3029.2053634062886, 352.6662320080992, 3309.6660251173435, 435.8658007106334, 767.7388329805696, 1802.550775667599, 1965.5983706870918, 2381.962502843606, 3600.8680270806317, 574.8692289300755, 1187.8112293800207, 2671.1715813209535, 3495.8990536032316, 865.496541047015, 1259.8382534850687, 1507.7649662099361, 2094.3767884884355, 2596.624856625986]",0.8582883365167013,0.8641142557361623,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[66.90873894737898, 199.80992998488196, 270.7732941546472, 348.15875983589467, 481.74859113923753, 673.2564349975803, 46.68984428432967, 827.398105177112, 71.1979912597825, 148.15748801722003, 394.9587881366979, 437.9607621810188, 546.3927039489338, 950.5106528271064, 104.8970294222147, 249.02358643666562, 625.7939175051488, 860.6825029234063, 158.94476136127074, 252.66637789410723, 315.891473596993, 472.46568549892237, 613.790441767267]","[494.44971409151094, 1036.4484499631167, 1361.88751860293, 1717.9108224946979, 2338.5804300670625, 3026.9085244131925, 352.7062682522625, 3306.5657792334255, 435.70696116781977, 767.185090926653, 1801.080445420891, 1963.9526186087253, 2379.9462272428154, 3597.9962492300983, 574.4225056925811, 1187.1487937839627, 2669.7705979508637, 3493.7845246135, 865.0112365289963, 1259.2432264032304, 1506.8510055512756, 2092.8547629373193, 2594.6753013942002]",0.8574723989410457,0.8652769521396733,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[66.94738496617771, 200.12443746806517, 271.28621405036336, 348.7683784920506, 482.2795488944401, 673.8244327500772, 46.71580373312759, 827.6736337364198, 71.27169965765495, 148.2728588358217, 395.2838048781366, 438.31704775842235, 546.5382600074466, 950.4705716851504, 104.93713174981683, 249.26078281572154, 626.3475228177117, 861.0138173273849, 159.12137550135824, 253.03559793523794, 316.3282246966201, 473.1067594834667, 614.598919709188]","[494.2775430896548, 1035.9526025002958, 1361.4017536100996, 1716.9245051576975, 2336.997196525097, 3024.6029189659234, 352.7466927936115, 3303.5005877849335, 435.54640825274436, 766.6352478671557, 1799.616927168953, 1962.3144624958188, 2377.938250237298, 3595.1268512635947, 573.979227095563, 1186.4895477695677, 2668.370444513017, 3491.691303837013, 864.5377673461136, 1258.6625702257768, 1505.9554063096045, 2091.351537814674, 2592.734157264543]",0.8567301147146233,0.8664288352595638,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[66.98438866236143, 200.42255934021645, 271.77458308167377, 349.3430255902887, 482.77735777705504, 674.3515664132361, 46.741949361259444, 827.9197997489333, 71.3464496511018, 148.38565015735566, 395.5955428434385, 438.6577824612113, 546.6627317290045, 950.3835368163064, 104.97533835331852, 249.48964150418595, 626.868807810251, 861.3098093365093, 159.29719811370614, 253.39706004673027, 316.75326533570893, 473.7218879023987, 615.3630124098049]","[494.1003804330289, 1035.4482228266984, 1360.9148764107226, 1715.954034566456, 2335.405695883656, 3022.2849323270793, 352.7879275552027, 3300.4779360655552, 435.3839815420299, 766.0894615717101, 1798.159307333058, 1960.6838310474693, 2375.939807515651, 3592.2620790518754, 573.5391832014918, 1185.833327055532, 2666.9702995995285, 3489.6177173346164, 864.0777706453342, 1258.0992314759137, 1505.0820077274534, 2089.87436064074, 2590.814828801596]",0.8560568187069273,0.8675693245271783,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.02007719197694, 200.7078092500274, 272.24360587017304, 349.8907713126394, 483.2430433118472, 674.8391622995432, 46.767386232983654, 828.1318596091472, 71.4226170443974, 148.49595319372202, 395.89450046748266, 438.9838983368204, 546.7673232885548, 950.2507575347986, 105.01158912865199, 249.71030929014591, 627.3595634399264, 861.5726470377942, 159.47248013749868, 253.75144835005102, 317.1676906205971, 474.31370670089933, 616.0872213520133]","[493.9177807492993, 1034.9370908207745, 1360.4248979904173, 1714.9912893337814, 2333.8070939586282, 3019.956545317734, 352.82860975586993, 3297.51399815923, 435.2188322145134, 765.547323642767, 1796.7087052925822, 1959.0611772046088, 2373.949984321404, 3589.4008775383477, 573.1015265740424, 1185.1785914748907, 2665.566773502874, 3487.5580308848857, 863.629733133006, 1257.552039831245, 1504.2313540397704, 2088.4272078178974, 2588.923541153848]",0.8554520570157316,0.8686977997433157,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.05495122479931, 200.98207748008957, 272.69583301001774, 350.41516080162376, 483.6794060634411, 675.2888904924816, 46.792033530806016, 828.306014999295, 71.49840423854717, 148.6038213184499, 396.1811183552335, 439.2950803068089, 546.8531498755137, 950.0761234514174, 105.04579642700998, 249.92324122225403, 627.8199826597393, 861.8033216537309, 159.6474369878446, 254.09907598319865, 317.5722446267019, 474.88364348483447, 616.7743515397908]","[493.73266054878746, 1034.4221942805827, 1359.9332446863234, 1714.0350175701674, 2332.20534535054, 3017.6226575803757, 352.86834547123607, 3294.5823821574218, 435.05454807877027, 765.0083659657213, 1795.2642115377903, 1957.4460456687925, 2371.9696283094527, 3586.545495108032, 572.6647670925439, 1184.5234563697813, 2664.158201596034, 3485.5108232130415, 863.1921775457816, 1257.018189902565, 1503.3999034471242, 2087.006910203734, 2587.0588313916205]",0.8549145300852047,0.8698155106049977,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.0884772208977, 201.24756123727147, 273.13421852342447, 350.92017529658614, 484.09013456978545, 675.7044122120379, 46.816279698592126, 828.436946818242, 71.57083726561983, 148.70984613022455, 396.45650245286345, 439.59330900112013, 546.9206907721893, 949.8601835298153, 105.07815709690934, 250.1283434251306, 628.2494822464248, 862.0000735414249, 159.81496853292543, 254.4397312465826, 317.96621647109066, 475.43222252617875, 617.4244476660186]","[493.551045999737, 1033.9025901584225, 1359.4373585704566, 1713.0804863464773, 2330.6031896990303, 3015.2924073582412, 352.9077928111964, 3291.657078399807, 434.9011696646624, 764.4743903189488, 1793.827346486378, 1955.8397527715238, 2369.9987483077707, 3583.696316231978, 572.229324792707, 1183.867403120637, 2662.74644002912, 3483.4754618643524, 862.7628252684899, 1256.4917366804482, 1502.5806085586564, 2085.6055115509985, 2585.211892940998]",0.8544451921335986,0.8709237880247076,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.12148067390918, 201.50645660491296, 273.56103409276227, 351.408695534562, 484.4776254548372, 676.086782614203, 46.840158776406454, 828.5254334247359, 71.64243433605141, 148.81409725110035, 396.7205537341957, 439.87831986565305, 546.9703994357418, 949.6051479532433, 105.10868892155945, 250.3261034825219, 628.6500749497397, 862.1657084737172, 159.9776386809509, 254.7725538505378, 318.34859789467407, 475.9572765974112, 618.0361371171564]","[493.3664918855059, 1033.3789734180673, 1358.9382000102967, 1712.1277303514241, 2329.003116073513, 3012.970530047059, 352.94690170256825, 3288.7313216246007, 434.75283182724564, 763.9447576737975, 1792.3962618083358, 1954.2398274053096, 2368.033815195304, 3580.850629572272, 571.7952408014987, 1183.2117503362747, 2661.3340059778693, 3481.456415056204, 862.3358825020589, 1255.9650949460267, 1501.7651300485106, 2084.2120271600425, 2583.3716286390786]",0.8540426744176026,0.8720241626926561,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.15396608666258, 201.76001387660162, 273.97793587452617, 351.8828721027874, 484.8450298279084, 676.4376900015654, 46.863696466908856, 828.5751447119769, 71.71217665593792, 148.91537830559417, 396.9726070501115, 440.14884581640086, 547.0025529206401, 949.3102820832111, 105.13746862832268, 250.51707328733394, 629.0214220451371, 862.298643041005, 160.13548902718725, 255.0976948411297, 318.71936040073365, 476.45970718323105, 618.6105041931834]","[493.18045806963596, 1032.8538111552625, 1358.4382482664705, 1711.1786796741128, 2327.4035396662357, 3010.6596776610613, 352.9856685036167, 3285.8139013054847, 434.6020635805562, 763.4138880602835, 1790.9639995638756, 1952.640131697342, 2366.0705670015154, 3577.9995801944738, 571.3632107039318, 1182.5583424600884, 2659.921471600235, 3479.4467154444346, 861.9073441445829, 1255.434907557508, 1500.9486763789503, 2082.8213636924147, 2581.5330272408482]",0.8537060857169259,0.8731176590002502,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.18574544618313, 202.00768525868062, 274.3838820700445, 352.3406715032622, 485.19538250777083, 676.756033297199, 46.88692785449822, 828.592379701652, 71.77978807070386, 149.0132877823312, 397.212582705318, 440.40563608293735, 547.018004556814, 948.9795810979795, 105.1648038750677, 250.70159936542746, 629.3629640745787, 862.3987087424869, 160.2886193224878, 255.41613267516504, 319.07970079598886, 476.9411812523253, 619.1503400523228]","[492.99234767694065, 1032.3287829927415, 1357.941070743537, 1710.2372709589627, 2325.794497094965, 3008.35265996325, 353.02425647379755, 3282.9178383941116, 434.43779913274716, 762.8811535898191, 1789.5332802014975, 1951.0433014378666, 2364.113907647878, 3575.1481242513173, 570.9339834999292, 1181.908085088934, 2658.5079170729637, 3477.4449131423703, 861.4775324992464, 1254.90141029495, 1500.1325327264176, 2081.434405352133, 2579.6989564791916]",0.8534312348112566,0.8742037735079458,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.21699924250666, 202.24977044033653, 274.7790991722411, 352.782107487203, 485.5340863786515, 677.0371829536391, 46.90987647210399, 828.5786238461673, 71.8454615571061, 149.108320300318, 397.44234161823886, 440.65054424562027, 547.0193776191077, 948.6162052039034, 105.19077361876415, 250.87986545469892, 629.6753644660988, 862.4672404081481, 160.4375329862927, 255.7291503579466, 319.43119751756063, 477.4043213879181, 619.6590529185974]","[492.8032007368281, 1031.802717462109, 1357.4440603510857, 1709.2989568811413, 2324.1532021882294, 3006.032732446402, 353.0626541946649, 3280.0459014085773, 434.2908007207595, 762.348537057842, 1788.109279704094, 1949.454793489921, 2362.169119503772, 3572.3084176872253, 570.5076800301657, 1181.2597761735676, 2657.0924350471496, 3475.451205394292, 861.0494216534937, 1254.3672993994296, 1499.318412452191, 2080.053419829559, 2577.8715718482977]",0.8532153443541102,0.8752834604639708,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.2477591938341, 202.48584428504762, 275.1625822482206, 353.20488028975996, 485.86420151881254, 677.2772788995023, 46.93254138529588, 828.5348235727561, 71.90958915444197, 149.20074424442063, 397.6633476538533, 440.8846442282013, 547.0078232483228, 948.2233812891194, 105.21492608753347, 251.05132138746626, 629.9590389885624, 862.5040752667132, 160.5824237650794, 256.03796704406983, 319.77522481689346, 477.8512626373468, 620.1391526078409]","[492.61221427596115, 1031.2740739644446, 1356.944043042861, 1708.357274468845, 2322.4350397275207, 3003.6806439376887, 353.10078042824716, 3277.19411316365, 434.15787359318495, 761.8175908485607, 1786.6944892317204, 1947.8781570184437, 2360.239571429622, 3569.484338161541, 570.0828521886349, 1180.612565351826, 2655.6763709628945, 3473.465786648727, 860.6244356479104, 1253.8343132782609, 1498.5085300478486, 2078.6800385681568, 2576.053194141841]",0.8530566550680737,0.8763600917743473,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.27834846371584, 202.71581106627488, 275.5336974584447, 353.6074093681436, 486.18322217141787, 677.4916411367748, 46.95493521072219, 828.4622349670084, 71.97218219452229, 149.29089502150504, 397.8761352488963, 441.1089731924345, 546.9853543539288, 947.8045807205106, 105.23767550480603, 251.21591560244076, 630.2131017855668, 862.5092185626437, 160.7236867651945, 256.34410840287126, 320.1129990131498, 478.2826805928704, 620.5926972314169]","[492.42788653809373, 1030.749783828377, 1356.4467902900442, 1707.4195191196056, 2320.74277316128, 3001.3709716372787, 353.1385663490809, 3274.3541575326803, 434.0350210580118, 761.288490189449, 1785.2884751844165, 1946.3115828201715, 2358.3235413062807, 3566.6735713323833, 569.6599709290534, 1179.967237351401, 2654.260872426635, 3471.4892353222963, 860.2058235572581, 1253.3029681288451, 1497.7030271293775, 2077.3142618757784, 2574.2454434087695]",0.8529490668638385,0.8774228323010257,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.30928371778867, 202.93935537395154, 275.895495922132, 353.99427532818396, 486.4686226412378, 677.6818763921783, 46.97719248596661, 828.3624241702566, 72.03355736468734, 149.37911051103475, 398.08112963198596, 441.3237887646652, 546.9555014595043, 947.3687952981277, 105.258789529829, 251.37361286680826, 630.4373640054062, 862.484903280439, 160.86104731109143, 256.6404200801891, 320.4450491016411, 478.6990965365076, 621.0199679879798]","[492.2493357053446, 1030.2297109942697, 1355.9569703836157, 1706.4914910329283, 2319.106215323961, 2999.096846203685, 353.1767974589527, 3271.523817178727, 433.92027645962014, 760.7620037741788, 1783.8891316824554, 1944.7536076045333, 2356.4169641578706, 3563.8657368381023, 569.2385078241683, 1179.3237039315552, 2652.8475592925074, 3469.5233694942, 859.7945979985697, 1252.7763163849322, 1496.8996547434924, 2075.953007959932, 2572.4437755955933]",0.852888518798843,0.8784715985609077,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.3401795859821, 203.15669932132047, 276.24429841080445, 354.36226125300544, 486.7291461206116, 677.8479853829937, 46.99956252557954, 828.2378723895907, 72.0941546996221, 149.4657318602036, 398.278975479789, 441.52963016971205, 546.9234029097652, 946.9255917398175, 105.27764837237673, 251.5237805203132, 630.6296132943013, 862.4271013353962, 160.9936512358134, 256.9254965510123, 320.7690779846973, 479.091395524154, 621.4147032875705]","[492.0728223641306, 1029.7186938490102, 1355.4786535810679, 1705.5830633490323, 2317.5054611859086, 2996.855305354393, 353.2161126688942, 3268.701343590546, 433.8131018858857, 760.2386533142002, 1782.4961514199524, 1943.2026930460872, 2354.516298437029, 3561.0542034698965, 568.8172791800499, 1178.6824139202015, 2651.4357600929616, 3467.565112717152, 859.3860293697194, 1252.2542806252063, 1496.098493158758, 2074.6123962864876, 2570.6550728249076]",0.8528724472858289,0.879507290170079,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.3705475664315, 203.36622376045938, 276.57864590514095, 354.7102766788646, 486.95706102109045, 677.9846517544833, 47.022080939440364, 828.0896707495604, 72.15407196875942, 149.5507655411256, 398.4698872728425, 441.72621140562546, 546.8875991424449, 946.4733650048014, 105.29458420885096, 251.66670165272262, 630.7894595351183, 862.3387565095495, 161.11913277184976, 257.1971080244215, 321.07951960064247, 479.449717048353, 621.7661422896575]","[491.89457882025823, 1029.2153708018823, 1355.006896981403, 1704.695942922032, 2315.926891132462, 2994.6250598040824, 353.25646846737715, 3265.884944066167, 433.71229652450455, 759.717964991068, 1781.1082738848772, 1941.6576429337917, 2352.6210087085337, 3558.2375790733336, 568.3984879526362, 1178.0453499865084, 2650.028068379867, 3465.615446434402, 858.9785079367789, 1251.7363814263344, 1495.3012395657242, 2073.3057617680192, 2568.8954529521343]",0.8529066725492358,0.8805313774866905,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.40024297048637, 203.5652150078469, 276.89744585895147, 355.03920686721244, 487.1483026832902, 678.091125693406, 47.044413612050285, 827.9186263241168, 72.21330270092065, 149.63423517682028, 398.65362224724515, 441.91374898346214, 546.8465069122784, 946.0072024481208, 105.31007196480995, 251.8018900159694, 630.9139148529472, 862.2175801860419, 161.23764230375687, 257.4551723184868, 321.37159806334734, 479.78011482063755, 622.0729939308045]","[491.71396963652154, 1028.7163167360275, 1354.5353707652314, 1703.8252759711265, 2314.3646268115763, 2992.399286942243, 353.2970783614457, 3263.0656241093575, 433.6159927311234, 759.2001742406038, 1779.7253334432007, 1940.118388902563, 2350.730552460182, 3555.419623298645, 567.9848907783218, 1177.4141729496255, 2648.6252135875225, 3463.6753439014433, 858.5694266295075, 1251.2177696433812, 1494.5062077047467, 2072.0047431932658, 2567.1497798768046]",0.8529950423059047,0.8815469628101185,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.42922471593022, 203.7544446099293, 277.20277498036177, 355.3498728022608, 487.30804386077324, 678.1692514359701, 47.066494817188605, 827.7248718573918, 72.27154942692434, 149.71564688618503, 398.828924687723, 442.0902409775323, 546.795903263872, 945.5190600756283, 105.32403647954058, 251.92886552285478, 630.9991289832143, 862.0626045615472, 161.35019207448678, 257.70117152359427, 321.6435731927087, 480.08529228770834, 622.3589364131103]","[491.532131645409, 1028.2218474872614, 1354.0630488957822, 1702.9591991486368, 2312.816038435191, 2990.1818070188465, 353.3375519786238, 3260.24790989871, 433.5215229570106, 758.6832757225324, 1778.3443054555237, 1938.581795360646, 2348.843342867124, 3552.5995605675935, 567.577059016902, 1176.7904739383562, 2647.22783247757, 3461.7403150170207, 858.1574368558466, 1250.6936741282968, 1493.7121449084311, 2070.6973032304822, 2565.3967328369617]",0.8531375978259399,0.8825557113445313,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.45744542920694, 203.93581168303595, 277.49938299015054, 355.6433107827902, 487.44167873755276, 678.219915463217, 47.08835312105735, 827.510745810294, 72.32797640832612, 149.79581950931708, 398.9990117002728, 442.25932347848, 546.7388079931122, 945.0147576009216, 105.33647356106212, 252.0471541666241, 631.0419054764463, 861.8715195551157, 161.45830363116653, 257.9378541183109, 321.9028893790012, 480.3699381673652, 622.6073953741468]","[491.35010508662316, 1027.733928345327, 1353.6076805857865, 1702.1007897630457, 2311.27954515633, 2987.973599909961, 353.3778540082492, 3257.4343053797966, 433.42815924509165, 758.1696612817083, 1776.9693352383076, 1937.0532286954492, 2346.9647184773926, 3549.7856211880917, 567.1763714435457, 1176.1750624769836, 2645.835220037758, 3459.8070939649347, 857.7456309346743, 1250.1669864130915, 1492.915518852949, 2069.384263508928, 2563.6367267452238]",0.8533335737771317,0.883556178284171,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.48490769080222, 204.11072090293808, 277.7853888107135, 355.9201789096251, 487.55161812545566, 678.2419651689243, 47.110029012652646, 827.2742732307564, 72.38157315127309, 149.87477519661067, 399.1656464029451, 442.42226222540904, 546.6752773557569, 944.4953672802606, 105.34680172503425, 252.15640627533895, 631.0422960434186, 861.6445093024101, 161.56376232854072, 258.1682203562822, 322.15382660769643, 480.63932689366203, 622.8252816562654]","[491.16702858751336, 1027.25036713295, 1353.1520798236907, 1701.240220954156, 2309.748402057338, 2985.771508723855, 353.4181199094504, 3254.6284470139863, 433.3334130120307, 757.6589715427401, 1775.6005769012124, 1935.5310856443737, 2345.0918762046126, 3546.975137987423, 566.780135403119, 1175.5664136797411, 2644.4441933984576, 3457.873648282242, 857.3374955489811, 1249.6420694462656, 1492.1217898709265, 2068.071903067514, 2561.8775620876195]",0.8535809582330753,0.8845492793061068,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.51167161892876, 204.2806528775072, 278.0623561431362, 356.1821568562858, 487.6414643931848, 678.2374382916091, 47.131645172280685, 827.016270459169, 72.43644831334083, 149.9522773447847, 399.3280190929385, 442.57856165866735, 546.6051135803372, 943.9593417104916, 105.35540883477655, 252.25675579198503, 631.0023560452255, 861.3856095137423, 161.66703754157012, 258.39306361866187, 322.3975708253769, 480.8961031497099, 623.0161865835573]","[490.98167382894553, 1026.7668654660993, 1352.6896271549376, 1700.3645319397835, 2308.2203583245755, 2983.5736147528887, 353.45852235696094, 3251.833523869324, 433.24276113139535, 757.1493155930718, 1774.2327763930382, 1934.0104559906665, 2343.220343485606, 3544.160517141903, 566.3882746956132, 1174.9616313340425, 2643.0527028478386, 3455.938168687225, 856.9356268983001, 1249.122600932604, 1491.3364165475962, 2066.767715102774, 2560.1281279568793]",0.8538772924865436,0.885536011182267,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.53774641967023, 204.44600629885537, 278.3305562834492, 356.42832036698417, 487.71263120372254, 678.2081496392868, 47.15295369264329, 826.7376163242391, 72.49215923556913, 150.027970129993, 399.4860340575544, 442.72720402978285, 546.5271208583603, 943.4064491758908, 105.36266535543197, 252.34946003100399, 630.929742295504, 861.1016410087269, 161.7681652861381, 258.6120662636001, 322.6335759609706, 481.1403884225093, 623.1826276210166]","[490.7956762176722, 1026.280193123922, 1352.221456933886, 1699.4739125151693, 2306.6953915174427, 2981.3811399103165, 353.4985046871122, 3249.051972170806, 433.1542172957182, 756.6378575005167, 1772.860681363553, 1932.4863926135001, 2341.3450511288197, 3541.336641322732, 565.9994266174156, 1174.357399805635, 2641.656265091372, 3454.0010823144194, 856.5408562557111, 1248.609416360192, 1490.560118819475, 2065.4744281715334, 2558.392905714679]",0.8542180005816986,0.8865169695263796,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.56332348892286, 204.61107575816794, 278.5907924658911, 356.6583721425525, 487.7675175185611, 678.155197937728, 47.17392230181998, 826.4393263504413, 72.5488523999368, 150.1018396057391, 399.64141337220116, 442.8699501268083, 546.4466244887093, 942.8285899105219, 105.36825031425808, 252.43535534145076, 630.8318221854715, 860.7982896634903, 161.86710544250468, 258.82520583022, 322.8617742865571, 481.37239482139137, 623.3240278539065]","[490.60952836782417, 1025.7873297530227, 1351.7462363007367, 1698.5557087385832, 2305.1740663125515, 2979.1943568370993, 353.5379993914641, 3246.2813270904776, 433.06662759156825, 756.1191655484632, 1771.4733773795606, 1930.9472057459056, 2339.4545002805708, 3538.4977690080295, 565.6098608858586, 1173.7486573419928, 2640.251462337351, 3452.0646593822485, 856.1517003654188, 1248.0996524689645, 1489.7901322305681, 2064.1878923851127, 2556.66731487453]",0.8546015004418183,0.8874948155790309,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.58874781312568, 204.7898412447093, 278.8420741376946, 356.86862325866036, 487.80509801987256, 678.0765289258334, 47.194619883416934, 826.1196666405419, 72.60657737929277, 150.1739042839214, 399.79267914938623, 443.00573652682766, 546.3602353643087, 942.2190234053437, 105.37243773623534, 252.5159296653148, 630.7165638284737, 860.4841549048657, 161.963314116225, 259.03170239490674, 323.081409943328, 481.590752977264, 623.4406275973618]","[490.42285131172287, 1025.275282259679, 1351.2612930232347, 1697.6057670912446, 2303.6515661144253, 2977.0067426068426, 353.5771959184453, 3243.5201887910366, 432.98067151611826, 755.5938972629077, 1770.0691162837747, 1929.3910218932333, 2337.5449760798692, 3535.638973247886, 565.2181343882281, 1173.133043513143, 2638.838003059125, 3450.1295098336936, 855.7654185417443, 1247.5897095074654, 1489.0221279585137, 2062.902217543828, 2554.943934299946]",0.8550289428641146,0.888471865972393,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
